Title,Price,Rating,Brand,RAM,Processor-Brand,Hard-Disk
"HP Pavilion Plus, 13th Gen Intel Core i7-13700H, 1...",120999,4.0,HP,16GB,INTEL,1TB
Acer Aspire Lite 12th Gen Intel Core i3-1215U Prem...,31720,3.9,ACER,8GB,INTEL,512GB
"Lenovo V14 G3 (2024), Intel Core i5 12th Gen 1235U...",39710,2.6,LENOVO,16GB,INTEL,512GB
Dell Inspiron 15 3535 Laptop - 15.6 inch FHD (39.6...,39990,4.2,DELL,8GB,AMD,512GB
"ASUS TUF Gaming A15 (2024), 15.6"" (39.62cm) FHD 14...",134990,4.1,ASUS,16GB,AMD,1TB
"HP 15s, Intel Core i3-1215, 8GB DDR4, 512GB SSD, 1...",36450,4.2,HP,8GB,INTEL,512GB
"Lenovo ThinkPad E14 Intel Core i5 13th Gen 14"" WUX...",70990,3.4,LENOVO,16GB,INTEL,512GB
Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450...,61990,3.9,LENOVO,16GB,INTEL,1TB
"Lenovo LOQ 2024 AMD Ryzen 7 7435HS 15.6"" (39.6cm) ...",90990,4.3,LENOVO,24GB,AMD,512GB
"Lenovo V15 G4 (2024), AMD Ryzen 3 7320U Quad Core ...",28270,3.2,LENOVO,8GB,AMD,512GB
"Primebook 4G, 2024(New, WiFi+4G) Android Based Med...",14790,4.5,PRIMEBOOK,4GB,MEDIATEK,64GB
"HP 15, 13th Gen Intel Core i3-1315U, 8GB DDR4, 512...",39790,4.1,HP,8GB,INTEL,512GB
"ASUS Vivobook 16 (2023)Thin & Light Laptop,Intel C...",79990,3.7,ASUS,16GB,INTEL,512GB
"Lenovo ThinkPad E14 Intel Core i5 13th Gen 14"" WUX...",67800,4.1,LENOVO,16GB,INTEL,512GB
Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450...,59990,3.9,LENOVO,16GB,INTEL,512GB
Microsoft New Surface Laptop (7th Edition) - Windo...,113990,3.9,MICROSOFT,16GB,QUALCOMM,256GB
"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14""...",23990,3.3,LENOVO,8GB,INTEL,512GB
Lenovo IdeaPad 3 12th Gen Intel Core i3-1215U 14 I...,35190,4.0,LENOVO,8GB,INTEL,512GB
"Lenovo ThinkBook 14 Intel 13th Gen Core i3 14"" (35...",43990,4.0,LENOVO,8GB,INTEL,512GB
"Lenovo ThinkPad E16 Intel Core i5 13th Gen 16"" WUX...",68100,3.2,LENOVO,16GB,INTEL,512GB
"Lenovo ThinkPad E14 Intel Core i5 13th Gen 14"" WUX...",67800,4.1,LENOVO,16GB,INTEL,512GB
"ASUS Vivobook 16 (2023)Thin & Light Laptop,Intel C...",79990,3.7,ASUS,16GB,INTEL,512GB
Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450...,59990,3.9,LENOVO,16GB,INTEL,512GB
Microsoft New Surface Laptop (7th Edition) - Windo...,113990,3.9,MICROSOFT,16GB,QUALCOMM,256GB
"Lenovo V15 G4 (2024), AMD Ryzen 3 7320U Quad Core ...",28270,3.2,LENOVO,8GB,AMD,512GB
"HP 15, 13th Gen Intel Core i3-1315U, 8GB DDR4, 512...",39790,4.1,HP,8GB,INTEL,512GB
"ASUS Vivobook S 15 OLED, 2.8K (2880 x 1620) 16:9,C...",91899,5.0,ASUS,16GB,INTEL,512GB
"Primebook 4G, 2024(New, WiFi+4G) Android Based Med...",14790,4.5,PRIMEBOOK,4GB,MEDIATEK,64GB
